row,group_id,ANGER,ANX,Disengagement,Engagement,negEmotions,posEmotions,negRelationships,posRelationships
1,1001,0.011277191,0.002133265,0.001121515,0.000787447,0.002233485,0.005493037,0.002018727,0.00784106
2,1003,0.007317865,0.002053952,0.000849651,0.001050368,0.002120355,0.006699113,0.00132956,0.007515563
3,1009,0.004964577,0.001505732,0.000524169,0.000784583,0.001452314,0.003362023,0.001208592,0.005892722
4,1013,0.013059258,0.002836902,0.001473921,0.000776582,0.00251993,0.004073094,0.001933531,0.007068482
5,1015,0.010898507,0.002168008,0.001197777,0.00087384,0.002321286,0.004484553,0.001705015,0.007573806
6,1017,0.010580788,0.002333318,0.001790417,0.000727718,0.002287114,0.005232639,0.001963683,0.008259021
7,1021,0.006777755,0.001577312,0.000983868,0.001061952,0.002092671,0.004872488,0.00148361,0.007246264
8,1025,0.009850525,0.002783451,0.001337502,0.000668751,0.0021147,0.004518589,0.001735138,0.007862346
9,1031,0.007935773,0.003298858,0.001060347,0.001026685,0.001977632,0.006690286,0.001615767,0.007531831
10,1033,0.009143321,0.002178153,0.001132147,0.000966017,0.002208918,0.004903921,0.001765904,0.007980409
11,1039,0.009834683,0.001894034,0.001315103,0.000729024,0.002001244,0.004224054,0.001686762,0.007082973
12,1043,0.007532557,0.002347293,0.001080816,0.000908416,0.002188155,0.006299233,0.001478662,0.008421081
13,1045,0.011292272,0.002334289,0.0014456,0.000853141,0.002654217,0.004538237,0.001575941,0.008602507
14,1047,0.012542396,0.003280319,0.001484307,0.00067536,0.002360048,0.004178325,0.001766326,0.006991087
15,1049,0.008413964,0.002185863,0.000908097,0.000827735,0.002185863,0.005593237,0.001735832,0.007554084
16,1051,0.010940333,0.002237566,0.001328397,0.000919271,0.0024194,0.005353995,0.001884,0.008182521
17,1053,0.012169259,0.001987498,0.002009704,0.000821647,0.002464941,0.004174855,0.001787638,0.00758358
18,1055,0.00954274,0.002307968,0.001127293,0.000920047,0.002405311,0.005378978,0.001799273,0.007762308
19,1069,0.009375427,0.002299556,0.000984751,0.000982046,0.002300909,0.00514289,0.001577225,0.006671419
20,1071,0.008231556,0.001789885,0.000947586,0.001206019,0.00230675,0.005139936,0.001684597,0.007427543
21,1073,0.009125537,0.002134741,0.001025301,0.000926737,0.002212871,0.005277955,0.00157341,0.007046088
22,1077,0.008295803,0.002332556,0.000966958,0.001040553,0.002457259,0.005587095,0.001598649,0.007717264
23,1079,0.012351753,0.002166791,0.001109564,0.000753666,0.002585494,0.004532465,0.0015178,0.007787885
24,1081,0.009544857,0.002190366,0.000973757,0.000965923,0.002350961,0.005056016,0.001613789,0.007128874
25,1083,0.017116531,0.002341186,0.001157712,0.000534063,0.002260442,0.002757593,0.001632563,0.005817398
26,1089,0.008720203,0.002032233,0.000871056,0.001061599,0.002082884,0.00489762,0.001460258,0.006418866
27,1095,0.00790705,0.001791021,0.00081252,0.000787227,0.001945937,0.004302877,0.001536516,0.006383181
